id,longitude,latitude
grixsen-brewing-co-portland,-122.65545411748921,45.50523370265883
hopworks-urban-brewery-portland,-122.634827,45.4968753
laurelwood-public-house-and-brewery-se-portland-portland,-122.6484951,45.47415655
portland-u-brew-and-pub-portland,-122.649393,45.47740515
ruse-brewing-llc-portland,-122.6470059,45.4593922
super-brewing-company-llc-portland,,
1323-r-and-d-raleigh,,
boylan-bridge-brewpub-raleigh,-78.649139,35.778465
brices-brewing-company-raleigh,-78.65871577,35.72493108
little-city-brewing-co-raleigh,,
tobacco-road-brewery-raleigh,-78.64598965,35.78269753
trophy-brewing-company-raleigh,-78.65744714,35.76136262
14-cannons-brewing-company-westlake-village,-118.802397,34.15334
figueroa-mountain-brewing-westlake-village-westlake-village,-118.79542916013615,34.14758662155248
five-threads-brewing-company-westlake-village,-118.801724,34.1529112
westlake-brewing-and-libation-thousand-oaks,-118.809516,34.161542
14-lakes-brewery-crosslake,,
14th-star-brewing-saint-albans,,
mill-river-brewing-bbq-and-smokehouse-saint-albans-city,,
16-lots-brewing-mason,-84.3183801,39.3545967
the-common-beer-company-mason,,
16-mile-brewing-co-georgetown,-75.37816436,38.6788938
16-stone-brewpub-holland-patent,-75.2565195,43.24211175
1623-brewing-co-llc-westminister,,
johanssons-dining-house-westminster,-76.9959315,39.5753896
1717-brewing-co-des-moines,-93.6120353,41.5872267
court-avenue-brewing-co-des-moines,-93.620995,41.585503
exile-brewing-des-moines,-93.63702159,41.5830167
madhouse-brewing-co-des-moines,-93.60766907,41.58113315
peace-tree-brewing-company-des-moines-branch-des-moines,-93.6121558,41.5867046
1781-brewing-company-spotsylvania,,
180-and-tapped-coraopolis,-80.15020356,40.50984957
cobblehaus-brewing-company-coraopolis,-80.16333048,40.5174116
1817-brewery-okolona,-88.750264,34.001703
1840-brewing-company-milwaukee,-87.90606942,43.00436242
component-brewing-co-milwaukee,,
dissident-brewing-milwaukee,,
district-14-brewery-and-pub-milwaukee,-87.9095587,42.9581912
enlightened-brewing-company-milwaukee,,
1850-brewing-company-mariposa,-119.9036592,37.570148
bridal-veil-brewing-mariposa,-119.96559844470893,37.48585410097753
18th-street-brewery-gary,-87.26887786,41.59928343
18th-street-brewery-hammond,-87.517422,41.61556796
1905-brewing-company-assumption,-89.0503635,39.5172564
1912-brewing-tucson,-110.9927505,32.24673727
dragoon-brewing-co-tucson,-111.0054521,32.25049461
192-brewing-kenmore,-122.2415652,47.75670075
cairn-brewing-kenmore,-122.2440866,47.7571424
nine-yards-brewing-kenmore,-122.2422905693129,47.75713837480386
1940s-brewing-company-holbrook,,
saint-james-brewery-holbrook,,
spider-bite-brewing-co-holbrook,,
squarehead-brewing-holbrook,,
1st-republic-brewing-co-essex-junction,,
2-basset-brewery-white-sulphur-springs,-110.9004865,46.54807609
2-dogz-and-a-guy-brewing-montrose,-75.8800318,41.8336364
endless-brewing-montrose,,
2-feet-brewing-company-bangor,-68.77283099,44.80012684
bangor-beer-co-bangor,,
geaghans-pub-and-craft-brewery-bangor,-68.777503,44.7867295
orono-brewing-bangor-draught-room-bangor,-68.7428115,44.81159483
sea-dog-brewing-co-bangor-bangor,-68.770233,44.7966948
2-row-brewing-midvale,-111.9007652,40.5950202
bohemian-brewery-and-grill-midvale,-111.894011,40.6206923
hoppers-grill-and-brewing-co-midvale,-111.8663362,40.62210005
2-silos-brewing-company-manassas,,
2-tones-brewing-co-whitehall,-82.9118174,40.0030689
2-tread-brewing-co-santa-rosa,-122.7167729,38.4387767
fogbelt-brewing-co-santa-rosa,-122.7266079,38.4490004
shady-oak-barrel-house-santa-rosa,-122.7154726,38.43709396
steele-and-hops-public-house-santa-rosa,-122.717258,38.459216
2-way-brewing-company-beacon,-73.9809868,41.5082102
hudson-valley-brewery-beacon,-73.9630491,41.5016501
2-witches-winery-and-brewing-company-danville,-79.42125553,36.58590349
ballad-brewing-danville,-79.386371,36.584786
20-corners-brewing-llc-woodinville,-122.1517007,47.76864300772501
black-raven-brewing-co-woodinville-woodinville,-122.15549627307789,47.743430776974606
bosk-brew-works-woodinville,-122.14923576137419,47.76907913325448
brouwerij-les-deplorables-woodinville,-122.1225485,47.7711936
crucible-brewing-woodinville-forge-woodinville,-122.167861,47.757935
dirty-bucket-brewery-woodinville,-122.1484843,47.7661918
good-brewing-company-woodinville,-122.1717877,47.74469959
laurelwood-public-house-and-brewery-ne-woodinville,-122.1460064,47.7328255
locust-cider-and-brewing-co-woodinville,-122.1484843,47.7661918
metier-brewing-company-woodinville,-122.1515611,47.76422098
sumerian-brewing-company-woodinville,,
triplehorn-brewing-co-woodinville,,
underground-brewing-woodinville,,
vessel-ales-and-taphouse-woodinville,,
wild-oak-project-woodinville,,
210-brewing-co-arlington,-122.18421,48.215096
in-the-shadow-brewing-arlington,-122.11260566931288,48.175673664203046
skookum-brewery-arlington,-122.150305,48.159011
212-brewing-company-davenport,,
217-brew-works-wilson,-77.9120318,35.7227625
21st-amendment-brewery-cafe-san-francisco,-122.3925769,37.782448
anchor-brewing-co-san-francisco,-122.4011065,37.7630772
black-hammer-brewing-san-francisco,-122.3969947,37.780655
harmonic-brewing-san-francisco,-122.3900962,37.75149961
local-brewing-co-san-francisco,-122.3973825,37.776173
magnolia-dogpatch-san-francisco,-122.3880818,37.7577437
seven-stills-san-francisco-1,-122.39919688888008,37.76881491934427
triple-voodoo-brewing-co-san-francisco,-122.3884378,37.7611618
21st-amendment-brewery-san-leandro,-122.17729280237437,37.71130035804804
cleophus-quealy-beer-company-san-leandro,-122.1914202,37.72210256
dr-hops-kombucha-beer-san-leandro,-122.1560768,37.7249296
drakes-brewing-co-san-leandro,-122.17914014470279,37.71493643668845
21st-st-brewers-bar-saint-louis,-90.213781,38.624291
center-ice-brewing-company-saint-louis,-90.22430637,38.63530006
schlafly-beerthe-saint-louis-brewery-llc-saint-louis,-90.20969425,38.63298865
wellspent-brewing-company-saint-louis,-90.22073676,38.6348785
23-brewing-company-lizzie-bs-cafe-prestonsburg,,
238-brewing-company-mead,,
big-barn-brewing-co-bodacious-berries-fruits-and-brews-mead,-117.26607896136873,47.80652793220603
23rd-street-brewery-lawrence,-95.28093353,38.9429674
26-degree-brewing-company-pompano-beach,-80.1224169,26.2316338
dangerous-minds-brewing-co-pompano-beach,,
28th-state-brewing-houston,,
2c-family-brewing-co-nampa,-116.559282,43.578989
crescent-brewery-nampa,-116.5550949,43.57676253
2kids-brewing-company-san-diego,-117.137429,32.896584
alesmith-brewing-co-san-diego,-117.14954959509429,32.888584581888374
align-brewing-co-san-diego,-117.137429,32.896584
intergalactic-brewing-co-san-diego,-117.1223493,32.89873279
little-miss-brewing-san-diego,-117.148488,32.89183
mike-hess-brewing-miramar-san-diego,-117.1518284,32.89080081
mikkeller-brewing-san-diego-san-diego,-117.144171,32.89146307
protector-brewery-san-diego,-117.137429,32.896584
thunderhawk-alements-san-diego,-117.137467,32.89575006
white-labs-tasting-room-san-diego,-117.121435,32.895843
2nd-shift-brewing-co-saint-louis,-90.280526,38.621943
brew-hub-taproom-saint-louis,-90.28300053,38.63049786
high-heel-brewing-saint-louis,,
modern-brewery-saint-louis,-90.273784,38.625149
rockwell-beer-company-saint-louis,-90.251576,38.625572
urban-chestnut-brewing-co-saint-louis,-90.261143,38.626662
urban-research-brewery-saint-louis,-90.274034,38.627933
2nd-story-brewing-company-philadelphia,,
2sp-brewing-company-aston,,
aston-abbey-brewing-co-aston,,
3-beards-beer-company-williamsburg,-72.7305059,42.3923659
brewmasters-tavern-brewmasters-brewing-services-williamsburg,-72.7305059,42.3923659
3-daughters-brewing-saint-petersburg,-82.6629721,27.76899022
cage-brewing-saint-petersburg,-82.660409,27.770292
cycle-brewing-production-and-warehouse-saint-petersburg,-82.66222158,27.76663544
pinellas-ale-works-saint-petersburg,-82.6597329,27.77012863
right-around-the-corner-saint-petersburg,-82.66369394,27.77095137
3-disciples-brewing-sebastopol,-122.8332502,38.3845125
california-cider-co-sebastopol,-122.8332502,38.3845125
crooked-goat-brewing-sebastopol,-122.81967887351999,38.40410224799931
woodfour-brewing-company-sebastopol,-122.8211041,38.4033133
3-freaks-brewing-co-highlands-ranch,-104.9426656,39.5659575
3-iron-brewing-company-colton,-117.30669927548118,34.056168887703755
3-keys-brewing-company-llc-bradenton,-82.53393502,27.49645026
little-giant-brewery-bradenton,,
3-nations-brewing-farmers-branch,-96.89883128,32.93044336
dauntless-brewing-company-farmers-branch,,
hop-and-sting-brewing-company-farmers-branch,-96.89883128,32.93044336
3-sheeps-brewing-co-sheboygan,-87.73006524,43.77384561
3-sheets-brewery-albany,,
calapooia-brewing-co-siletz-ales-albany,-123.09377729662367,44.639466797999845
deluxe-brewing-co-albany,-123.09814513100943,44.639375628042394
3-sons-brewing-co-dania,-80.14361029,26.04800238
3-stars-brewing-co-washington,,
3-trails-brewing-co-independence,-94.41265,39.122385
30-mile-brewing-co-old-saybrook,,
300-suns-brewing-company-longmont,,
bootstrap-brewing-longmont,-105.1062808,40.16140505
brewmented-longmont,,
grossen-bart-brewery-longmont,,
left-hand-brewing-company-longmont,-105.1168403,40.158688
oskar-blues-brewery-and-tasty-weasel-tap-room-longmont,,
pumphouse-brewery-and-restaurant-longmont,-105.1020999,40.1687619
shoes-and-brews-longmont,,
wibby-brewing-longmont,-105.1002098,40.1623965
32-north-brewing-co-san-diego,-117.1649841601659,32.88313236843027
alpine-beer-company-san-diego,-117.113975,32.9167796
amplified-ale-works-miramar-studio-san-diego,-117.15706948900157,32.886875980190894
ballast-point-brewing-company-san-diego-1,-117.1587251,32.88798083
ballast-point-brewing-company-san-diego-2,-117.157081,32.889641
california-wild-ales-san-diego,-117.2146488,32.905002
constellation-brands-san-diego,-117.15789787365865,32.8880826120124
division-23-brewing-san-diego,-117.162908,32.890353
duck-foot-brewing-co-san-diego,-117.1562181,32.88474835
green-flash-brewing-co-san-diego,-117.113975,32.9167796
karl-strauss-brewing-co-sorrento-mesa-san-diego,-117.2027066,32.89634566
longship-brewery-san-diego,-117.17143051598686,32.90417278136671
new-english-brewing-co-inc-san-diego,-117.230519,32.912641
pure-project-san-diego,-117.1555351,32.88830151
rough-draft-brewing-san-diego,-117.17169774482312,32.88370282806232
saint-archer-brewing-company-san-diego,-117.163745,32.880445
34-degree-north-experiment-station-shallotte,-78.38636517,33.97270364
350-brewing-co-tinley-park,-87.79160288,41.55864726
38-state-brewing-littleton,,
blue-spruce-brewing-centennial,,
halfpenny-brewing-company-centennial,,
380-brewing-company-clancy,,
38a-75a-brewing-rehoboth-beach,-75.090191,38.7074994
dewey-beer-co-dewey-beach,-75.07497503,38.6961465
dogfish-head-brewings-and-eats-rehoboth-beach,-75.08731545,38.7151767
fins-big-oyster-brewery-rehoboth-beach,-75.090191,38.7074994
iron-hill-brewery-and-restaurant-rehoboth-beach-rehoboth-beach,-75.090191,38.7074994
revelation-craft-brewing-co-rehoboth-beach,,
3cross-fermentation-cooperative-worcester,-71.83057593,42.24364875
3halves-brewing-co-liberty,-94.4190247,39.2461993
rock-and-run-brewery-liberty,-94.4190247,39.2461993
3rd-degree-brewhouse-fuquay-varina,-78.794223,35.5914556
aviator-brewing-company-fuquay-varina,-78.8073896,35.61695983
fainting-goat-brewing-company-fuquay-varina,-78.80001933,35.5812855
mason-jar-lager-co-fuquay-varina,-78.8026696,35.6015909
oaklyn-springs-brewery-fuquay-varina,,
3rd-planet-brewing-niceville,,
3rd-rock-brewing-company-trenton,-77.36749285,35.06939877
3rd-turn-brewing-louisville,-85.56656078,38.19322725
3rd-wave-brewing-co-delmar,,
4-by-4-brewing-company-springfield,-93.239889,37.147986
prehistoric-brewing-company-springfield,-93.261483,37.181077
4-hands-brewing-co-saint-louis,-90.19762012,38.61526593
propagation-llc-saint-louis,,
square-one-brewery-and-distillery-saint-louis,-90.21039473,38.616665
4-noses-brewing-company-broomfield,,
gordon-biersch-brewery-restaurant-broomfield-broomfield,,
westminster-brewing-co-westminster,,
4-stitch-brewing-co-bothell,-122.23281873068436,47.82525617315347
decibel-brewing-co-bothell,-122.210174,47.833364
mcmenamins-mill-creek-brewery-mill-creek,-122.21233174603067,47.877654683294395
watts-brewing-company-bothell,,
400-north-brewing-sugarhill,,
405-brewing-co-norman,-97.46818222,35.25738891
beer-is-good-brewing-company-norman,-97.4411294,35.2216069
black-mesa-brewing-company-norman,-97.4819196,35.2761135
406-brewing-company-bozeman,,
bozeman-brewing-co-bozeman,-111.0238884,45.6845234
bridger-brewing-company-bozeman,-111.0526959,45.6627215
dog-tag-brewing-bozeman,,
julius-lehrkind-brewing-bozeman,-111.031558,45.69633335
map-brewing-company-bozeman,-111.0400807,45.7033199
the-bunkhouse-brewery-bozeman,,
white-dog-brewing-company-bozeman,-111.0393894,45.67961135
411-broadway-ales-fresno,-119.7088613,36.7295295
tioga-sequoia-brewing-co-fresno,-119.7883079,36.73071679
412-brews-mc-kees-rocks,,
abjuration-brewing-mc-kees-rocks,,
42-north-brewing-company-east-aurora,-78.607989,42.769311
4204-main-street-brewing-co-belleville,-90.02053343,38.53796122
mainstreet-brewing-company-belleville,-90.02053343,38.53796122
450-north-brewing-company-simmons-winery-columbus,,
power-house-brewing-cos-columbus-bar-columbus,,
47-hills-brewing-co-south-san-francisco,-122.4136168,37.64425595
armstrong-brewing-co-south-san-francisco,-119.19257256150316,50.44703095616619
49th-state-brewing-co-anchorage-anchorage,-149.8958196,61.2197366
broken-tooth-brewing-co-anchorage,-149.8437638,61.2225517
glacier-brewhouse-anchorage,-149.896703,61.218047
humpys-great-alaskan-alehouse-anchorage,-149.8938928,61.216502
matanuska-brewing-company-downtown-brewpub-anchorage,-149.893012,61.219744
resolution-brewing-company-anchorage,-149.823091,61.21997889
4bs-brewery-cedaredge,-107.925782,38.900614
4kd-crick-brewery-defiance,-84.341647,41.296252
4th-tap-brewing-cooperative-austin,-97.7118913,30.3852024
adelberts-brewery-llc-austin,-97.7201589,30.3826286
austin-beerworks-austin,-97.72984444,30.3795705
celis-brewery-austin,,
circle-brewing-company-austin,,
oskar-blues-brewery-austin,-97.71470248,30.3839295
5-alarm-brewing-co-lake-mills,-93.53398788,43.41926615
5-lakes-brewing-co-dorr,-85.70445518,42.72497157
5-north-brewing-company-spokane,-117.43284963068433,47.71758682546933
waddells-brewing-co-spokane,,
5-rabbit-cerveceria-inc-chicago,-87.6572069,41.7595502
5-rights-brewing-co-marysville,-122.17629063068435,48.05156014950019
swinnerton-brewery-marysville,-122.1710235,48.05547132
5-rivers-brewing-llc-spanish-fort,-87.9152724,30.6749127
5-seasons-brewing-co-prado-sandy-springs,-84.3796711,33.9078086
5-seasons-brewing-co-westside-atlanta,,
fire-maker-brewing-company-atlanta,-84.41943924,33.80024037
monday-night-brewing-atlanta,-84.40989212,33.79480405
red-brick-brewing-co-atlanta-brewing-co-atlanta,-84.43454138,33.81830375
scofflaw-brewing-co-atlanta,,
second-self-brewing-atlanta,-84.43006194,33.8055922
5-stones-artisan-brewery-new-braunfels,-98.232345,29.711365
512-brewing-co-austin,,
skull-mechanix-brewing-austin,,
st-elmo-brewing-company-austin,-97.7611749,30.2174321
thirsty-planet-brewing-co-austin,-97.7487141,30.2521655
515-brewing-co-clive,-93.7228408,41.599992
granite-city-food-and-brewery-4-clive,-93.795293,41.600494
5150-brewing-at-the-brass-tap-rocklin-rocklin,-121.207331,38.8047402
kathrins-biergarten-rocklin,-121.22418251213813,38.79092485364728
moksa-brewing-co-rocklin,-121.2418299,38.78184183
out-of-bounds-brewing-company-rocklin,-121.2289797,38.80045074
51st-state-brewing-company-kingsford,-88.08819,45.808408
51st-ward-beer-company-westmont,-87.981157,41.804494
myths-and-legends-brewing-company-westmont,-87.9817647,41.7763011
54-40-brewing-company-washougal,-122.32693485397346,45.56577849034631
doomsday-brewing-company-and-pizza-washougal-washougal,-122.3735011593623,45.581110861200706
shoug-brewing-company-washougal,,
550-brewing-aztec,-107.9950235,36.8213739
559-local-brewing-clovis,-119.7017487,36.82517171
kings-river-brewing-company-clovis,-119.7029194,36.8252277
machinehead-brewing-co-clovis,-119.7029194,36.8252277
56-brewing-minneapolis,,
arbeiter-brewing-company-minneapolis,,
broken-clock-brewing-cooperative-minneapolis,,
fair-state-brewing-cooperative-minneapolis,-93.247453,45.01337914
fulton-beer-minneapolis-1,-93.26664,45.046388
5770-brewery-teutopolis,-88.47806652,39.13142194
5th-element-brewing-leander,,
hell-or-high-water-brewing-leander,,
5th-line-brewing-co-yakima,-120.49304576136873,46.61136700515121
bale-breaker-brewing-company-yakima,-120.435573,46.57685541
berchmans-brewing-company-yakima,,
redifer-brewing-co-yakima,-120.5057229,46.60240198
single-hill-brewing-company-yakima,-120.5006688,46.6050643
5x5-brewing-co-mission,,
6-and-40-brewerytaproom-lakewood,-105.1100582,39.6311085
6-bears-and-a-goat-brewing-company-llc-fredericksburg,,
6-bridges-brewing-johns-creek,,
6-degrees-of-separation-ossining,-73.86768188,41.15866213
sing-sing-kill-brewery-ossining,-73.86373076,41.15860835
603-brewery-londonderry,,
from-the-barrel-brewing-company-londonderry,,
moonlight-meaderyhidden-moon-brewing-londonderry,,
pipe-dream-brewing-londonderry,,
608-brewing-company-la-crosse,,
pearl-street-brewery-la-crosse,-91.23526334,43.835173
