id,name,brewery_type
127-brewing-jackson,127 Brewing,micro
grand-river-brewery-jackson,Grand River Brewery,brewpub
sandhill-crane-vineyards-jackson,Sandhill Crane Vineyards,micro
12degree-brewing-louisville,12Degree Brewing,brewpub
crystal-springs-brewing-co-louisville,Crystal Springs Brewing Co,micro
gravity-brewing-louisville,Gravity Brewing,micro
redgarden-brewery-louisville,Redgarden Brewery,brewpub
12welve-eyes-brewing-saint-paul,12welve Eyes Brewing,micro
barrel-theory-beer-company-saint-paul,Barrel Theory Beer Company,micro
joseph-wolf-brewing-company-saint-paul,Joseph Wolf Brewing Company,contract
stacked-deck-brewing-saint-paul,Stacked Deck Brewing,planning
tin-whiskers-brewing-saint-paul,Tin Whiskers Brewing,micro
13-below-brewery-cincinnati,13 Below Brewery,micro
13-stripes-brewery-taylors,13 Stripes Brewery,brewpub
13-virtues-brewing-co-portland,13 Virtues Brewing Co,brewpub
alameda-brewing-co-portland-1,Alameda Brewing Co,micro
gigantic-brewing-co-portland,Gigantic Brewing Co,micro
grixsen-brewing-co-portland,Grixsen Brewing Co,closed
hopworks-urban-brewery-portland,Hopworks Urban Brewery,micro
laurelwood-public-house-and-brewery-se-portland-portland,Laurelwood Public House & Brewery - SE Portland,brewpub
portland-u-brew-and-pub-portland,Portland U-Brew & Pub,brewpub
ruse-brewing-llc-portland,"Ruse Brewing, LLC.",proprietor
super-brewing-company-llc-portland,Super Brewing Company LLC,planning
1323-r-and-d-raleigh,1323 R & D,micro
boylan-bridge-brewpub-raleigh,Boylan Bridge Brewpub,brewpub
brices-brewing-company-raleigh,Brice's Brewing Company,micro
little-city-brewing-co-raleigh,Little City Brewing Co.,micro
tobacco-road-brewery-raleigh,Tobacco Road Brewery,brewpub
trophy-brewing-company-raleigh,Trophy Brewing Company,micro
14-cannons-brewing-company-westlake-village,14 Cannons Brewing Company,micro
figueroa-mountain-brewing-westlake-village-westlake-village,Figueroa Mountain Brewing - Westlake Village,micro
five-threads-brewing-company-westlake-village,Five Threads Brewing Company,micro
westlake-brewing-and-libation-thousand-oaks,Westlake Brewing & Libation,micro
14-lakes-brewery-crosslake,14 Lakes Brewery,micro
14th-star-brewing-saint-albans,14th Star Brewing,micro
mill-river-brewing-bbq-and-smokehouse-saint-albans-city,Mill River Brewing BBQ & Smokehouse,brewpub
16-lots-brewing-mason,16 Lots Brewing,brewpub
the-common-beer-company-mason,The Common Beer Company,planning
16-mile-brewing-co-georgetown,16 Mile Brewing Co,micro
16-stone-brewpub-holland-patent,16 Stone Brewpub,brewpub
1623-brewing-co-llc-westminister,"1623 Brewing CO, llc",contract
johanssons-dining-house-westminster,Johanssons Dining House,brewpub
1717-brewing-co-des-moines,1717 Brewing Co,micro
court-avenue-brewing-co-des-moines,Court Avenue Brewing Co,brewpub
exile-brewing-des-moines,Exile Brewing,micro
madhouse-brewing-co-des-moines,Madhouse Brewing Co,micro
peace-tree-brewing-company-des-moines-branch-des-moines,Peace Tree Brewing Company - Des Moines Branch,micro
1781-brewing-company-spotsylvania,1781 Brewing Company,micro
180-and-tapped-coraopolis,180 and Tapped,micro
cobblehaus-brewing-company-coraopolis,Cobblehaus Brewing Company,micro
1817-brewery-okolona,1817 Brewery,micro
1840-brewing-company-milwaukee,1840 Brewing Company,micro
component-brewing-co-milwaukee,Component Brewing Co,micro
dissident-brewing-milwaukee,Dissident Brewing,planning
district-14-brewery-and-pub-milwaukee,District 14 Brewery & Pub,brewpub
enlightened-brewing-company-milwaukee,Enlightened Brewing Company,micro
1850-brewing-company-mariposa,1850 Brewing Company,micro
bridal-veil-brewing-mariposa,Bridal Veil Brewing,closed
18th-street-brewery-gary,18th Street Brewery,micro
18th-street-brewery-hammond,18th Street Brewery,micro
1905-brewing-company-assumption,1905 Brewing Company,micro
1912-brewing-tucson,1912 Brewing,micro
dragoon-brewing-co-tucson,Dragoon Brewing Co,micro
192-brewing-kenmore,192 Brewing,micro
cairn-brewing-kenmore,Cairn Brewing,micro
nine-yards-brewing-kenmore,Nine Yards Brewing,closed
1940s-brewing-company-holbrook,1940's Brewing Company,micro
saint-james-brewery-holbrook,Saint James Brewery,micro
spider-bite-brewing-co-holbrook,Spider Bite Brewing Co,micro
squarehead-brewing-holbrook,SquareHead Brewing,micro
1st-republic-brewing-co-essex-junction,1st Republic Brewing Co,micro
2-basset-brewery-white-sulphur-springs,2 Basset Brewery,micro
2-dogz-and-a-guy-brewing-montrose,2 Dogz and A Guy Brewing,micro
endless-brewing-montrose,Endless Brewing,micro
2-feet-brewing-company-bangor,2 Feet Brewing Company,brewpub
bangor-beer-co-bangor,Bangor Beer Co.,brewpub
geaghans-pub-and-craft-brewery-bangor,Geaghan's Pub & Craft Brewery,brewpub
orono-brewing-bangor-draught-room-bangor,Orono Brewing Bangor Draught Room,micro
sea-dog-brewing-co-bangor-bangor,Sea Dog Brewing Co - Bangor,brewpub
2-row-brewing-midvale,2 Row Brewing,micro
bohemian-brewery-and-grill-midvale,Bohemian Brewery and Grill,micro
hoppers-grill-and-brewing-co-midvale,Hoppers Grill and Brewing Co,brewpub
2-silos-brewing-company-manassas,2 Silos Brewing Company,micro
2-tones-brewing-co-whitehall,2 Tones Brewing Co.,micro
2-tread-brewing-co-santa-rosa,2 Tread Brewing Co,brewpub
fogbelt-brewing-co-santa-rosa,Fogbelt Brewing Co,brewpub
shady-oak-barrel-house-santa-rosa,Shady Oak Barrel House,micro
steele-and-hops-public-house-santa-rosa,Steele and Hops Public House,brewpub
2-way-brewing-company-beacon,2 Way Brewing Company,brewpub
hudson-valley-brewery-beacon,Hudson Valley Brewery,micro
2-witches-winery-and-brewing-company-danville,2 Witches Winery and Brewing Company,micro
ballad-brewing-danville,Ballad Brewing,micro
20-corners-brewing-llc-woodinville,20 Corners Brewing LLC,brewpub
black-raven-brewing-co-woodinville-woodinville,Black Raven Brewing Co Woodinville,micro
bosk-brew-works-woodinville,Bosk Brew Works,micro
brouwerij-les-deplorables-woodinville,Brouwerij Les Deplorables,nano
crucible-brewing-woodinville-forge-woodinville,Crucible Brewing - Woodinville Forge,micro
dirty-bucket-brewery-woodinville,Dirty Bucket Brewery,closed
good-brewing-company-woodinville,Good Brewing Company,micro
laurelwood-public-house-and-brewery-ne-woodinville,Laurelwood Public House and Brewery - NE,closed
locust-cider-and-brewing-co-woodinville,Locust Cider & Brewing Co,micro
metier-brewing-company-woodinville,Metier Brewing Company,micro
sumerian-brewing-company-woodinville,Sumerian Brewing Company,micro
triplehorn-brewing-co-woodinville,Triplehorn Brewing Co,micro
underground-brewing-woodinville,Underground Brewing,micro
vessel-ales-and-taphouse-woodinville,Vessel Ales & Taphouse,micro
wild-oak-project-woodinville,Wild Oak Project,planning
210-brewing-co-arlington,210 Brewing Co,brewpub
in-the-shadow-brewing-arlington,In the Shadow Brewing,micro
skookum-brewery-arlington,Skookum Brewery,micro
212-brewing-company-davenport,212 Brewing Company,contract
217-brew-works-wilson,217 Brew Works,micro
21st-amendment-brewery-cafe-san-francisco,21st Amendment Brewery Cafe,brewpub
anchor-brewing-co-san-francisco,Anchor Brewing Co,large
black-hammer-brewing-san-francisco,Black Hammer Brewing,micro
harmonic-brewing-san-francisco,Harmonic Brewing,micro
local-brewing-co-san-francisco,Local Brewing Co,micro
magnolia-dogpatch-san-francisco,Magnolia Dogpatch,micro
seven-stills-san-francisco-1,Seven Stills,micro
triple-voodoo-brewing-co-san-francisco,Triple Voodoo Brewing Co,micro
21st-amendment-brewery-san-leandro,21st Amendment Brewery,regional
cleophus-quealy-beer-company-san-leandro,Cleophus Quealy Beer Company,micro
dr-hops-kombucha-beer-san-leandro,Dr Hops Kombucha Beer,planning
drakes-brewing-co-san-leandro,Drake's Brewing Co.,regional
21st-st-brewers-bar-saint-louis,21st St Brewers Bar,brewpub
center-ice-brewing-company-saint-louis,Center Ice Brewing Company,micro
