postal_code,county,ZHVI
63103,Saint Louis City,168294.0
63103,Saint Louis City,168294.0
63103,Saint Louis City,168294.0
41653,Floyd County,117219.0
99021,Spokane County,561659.0
99021,Spokane County,561659.0
66047,Douglas County,313391.0
33062,Broward County,526318.0
33062,Broward County,526318.0
77095,Harris County,339646.0
83651,Canyon County,368526.0
83651,Canyon County,368526.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
92126,San Diego County,912601.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
63110,Saint Louis City,319287.0
19106,Philadelphia County,408067.0
19014,Delaware County,340466.0
19014,Delaware County,340466.0
1096,Hampshire County,392577.0
1096,Hampshire County,392577.0
33712,Pinellas County,337675.0
33712,Pinellas County,337675.0
33712,Pinellas County,337675.0
33712,Pinellas County,337675.0
33712,Pinellas County,337675.0
95472,Sonoma County,1160342.0
95472,Sonoma County,1160342.0
95472,Sonoma County,1160342.0
95472,Sonoma County,1160342.0
80126,Douglas County,783998.0
92324,San Bernardino County,475865.0
34208,Manatee County,378839.0
34208,Manatee County,378839.0
75234,Dallas County,364199.0
75234,Dallas County,364199.0
75234,Dallas County,364199.0
53083,Sheboygan County,233672.0
97321,Benton County,491456.0
97321,Benton County,491456.0
97321,Benton County,491456.0
33004,Broward County,343251.0
20012,District of Columbia,918222.0
64050,Jackson County,161627.0
6475,Middlesex County,567088.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
80501,Boulder County,521066.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
92121,San Diego County,1105902.0
28470,Brunswick County,316013.0
60477,Cook County,285541.0
80122,Arapahoe County,673598.0
80122,Arapahoe County,673598.0
80122,Arapahoe County,673598.0
59634,Jefferson County,607197.0
19971,Sussex County,760970.0
19971,Sussex County,760970.0
19971,Sussex County,760970.0
19971,Sussex County,760970.0
19971,Sussex County,760970.0
19971,Sussex County,760970.0
1603,Worcester County,342144.0
64068,Clay County,306662.0
64068,Clay County,306662.0
27526,Wake County,446227.0
27526,Wake County,446227.0
27526,Wake County,446227.0
27526,Wake County,446227.0
27526,Wake County,446227.0
32578,Okaloosa County,454008.0
28585,Jones County,135946.0
40299,Jefferson County,304438.0
19940,Sussex County,291768.0
65804,Greene County,252995.0
65804,Greene County,252995.0
63104,Saint Louis City,311925.0
63104,Saint Louis City,311925.0
63104,Saint Louis City,311925.0
80021,Jefferson County,591499.0
80021,Jefferson County,591499.0
80021,Jefferson County,591499.0
98012,Snohomish County,969551.0
98012,Snohomish County,969551.0
98012,Snohomish County,969551.0
98012,Snohomish County,969551.0
30518,Gwinnett County,449824.0
73069,Cleveland County,210995.0
73069,Cleveland County,210995.0
73069,Cleveland County,210995.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
59715,Gallatin County,809233.0
93721,Fresno County,203242.0
93721,Fresno County,203242.0
15136,Allegheny County,185063.0
15136,Allegheny County,185063.0
14052,Erie County,381731.0
62226,Saint Clair County,158704.0
62226,Saint Clair County,158704.0
47203,Bartholomew County,262550.0
47203,Bartholomew County,262550.0
94080,San Mateo County,1286865.0
94080,San Mateo County,1286865.0
99501,Anchorage Borough,353818.0
99501,Anchorage Borough,353818.0
99501,Anchorage Borough,353818.0
99501,Anchorage Borough,353818.0
99501,Anchorage Borough,353818.0
99501,Anchorage Borough,353818.0
81413,Delta County,400927.0
43512,Defiance County,172361.0
78758,Travis County,509947.0
78758,Travis County,509947.0
78758,Travis County,509947.0
78758,Travis County,509947.0
78758,Travis County,509947.0
78758,Travis County,509947.0
50450,Winnebago County,152340.0
49323,Allegan County,343969.0
99208,Spokane County,473529.0
99208,Spokane County,473529.0
60638,Cook County,308048.0
98270,Snohomish County,607283.0
98270,Snohomish County,607283.0
36527,Baldwin County,387590.0
30342,Fulton County,800136.0
30318,Fulton County,392400.0
30318,Fulton County,392400.0
30318,Fulton County,392400.0
30318,Fulton County,392400.0
30318,Fulton County,392400.0
30318,Fulton County,392400.0
78132,Comal County,673679.0
78745,Travis County,567601.0
78745,Travis County,567601.0
78745,Travis County,567601.0
78745,Travis County,567601.0
50325,Polk County,391741.0
50325,Polk County,391741.0
95677,Placer County,652065.0
